Symbols,Brexit,2_years_later,Gain/(loss),% Gain/(loss)
UTG.L,1216.1080322265625,1034.0,-182.1080322265625,-14.974659109285081
UU.L,955.933349609375,1067.5,111.566650390625,11.670965390653512
VCT.L,2111.56298828125,2042.0,-69.56298828125,-3.294383765358201
VEIL.L,456.0,743.0,287.0,62.93859649122807
VID.L,1025.0,1280.0,255.0,24.878048780487806
VMUK.L,163.49378967285156,189.12522888183594,25.631439208984375,15.6773167104833
VOD.L,134.07565307617188,130.02000427246094,-4.0556488037109375,-3.0248958037197236
VOF.L,311.522216796875,513.0,201.477783203125,64.67525342967645
VSVS.L,397.87774658203125,456.79998779296875,58.9222412109375,14.809132130939467
VTY.L,1330.3914794921875,1022.5,-307.8914794921875,-23.14292328523557
WEIR.L,1288.057373046875,1729.0,440.942626953125,34.233151114230544
WG.L,325.54620361328125,222.39999389648438,-103.14620971679688,-31.68404624964542
WHR.L,104.73356628417969,164.95523071289062,60.22166442871094,57.49986997034742
WIZZ.L,4187.0,4035.0,-152.0,-3.6302842130403628
WKP.L,1137.2384033203125,844.5,-292.7384033203125,-25.741164074799567
WOSG.L,373.3999938964844,1272.0,898.6000061035156,240.65346030847272
WPP.L,855.96923828125,1151.5,295.53076171875,34.52586243778612
WTAN.L,217.7349090576172,237.0,19.265090942382812,8.847956915023152
WTB.L,3840.27880859375,3022.0,-818.27880859375,-21.307796891272872
WWH.L,3035.0,3125.0,90.0,2.9654036243822075
GLEN.L,189.50665283203125,383.0,193.49334716796875,102.10372262733758
