Ticker,Name,Market,
RKT,RECKITT BENCKISER GROUP PLC ORD 10P,FTSE 100,
RMV,RIGHTMOVE PLC ORD 0.1P,FTSE 100,
ROR,ROTORK PLC ORD 0.5P,FTSE 250,
RR.,ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P,FTSE 100,
RS1,RS GROUP PLC ORD 10P,FTSE 100,
RSW,RENISHAW PLC ORD 20P,FTSE 250,
RTO,RENTOKIL INITIAL PLC ORD 1P,FTSE 100,
SAFE,SAFESTORE HOLDINGS PLC ORD 1P,FTSE 250,
SAIN,SCOTTISH AMERICAN INV CO PLC ORD 25P,FTSE 250,
SBRY,SAINSBURY(J) PLC ORD 28 4/7P,FTSE 100,
SCT,SOFTCAT PLC ORD £0.0005,FTSE 250,
SDP,SCHRODER ASIA PACIFIC FUND ORD 10P,FTSE 250,
SDR,SCHRODERS PLC ORD 20P,FTSE 100,
SEIT,SDCL ENERGY EFFICIENCY INCOME TRUST ORD GBP0.01,FTSE 250,
SEQI,SEQUOIA ECONOMIC INFRASTRUCTURE INC ORD NPV,FTSE 250,
SGE,SAGE GROUP PLC ORD 1 4/77P,FTSE 100,
SGRO,SEGRO PLC ORD 10P,FTSE 100,
SHB,SHAFTESBURY PLC ORD 25P,FTSE 250,
SHED,URBAN LOGISTICS REIT PLC ORD 1P,FTSE 250,
SHEL,SHELL PLC ORD EUR0.07,FTSE 100,
SKG,SMURFIT KAPPA GROUP PLC ORD EUR0.001 (CDI),FTSE 100,
SMDS,SMITH (DS) PLC ORD 10P,FTSE 100,
SMIN,SMITHS GROUP PLC ORD 37.5P,FTSE 100,
SMT,SCOTTISH MORTGAGE INV TST PLC ORD 5P,FTSE 100,
SMWH,WH SMITH PLC ORD 22 6/67P,FTSE 250,
SN.,SMITH & NEPHEW PLC ORD USD0.20,FTSE 100,
SOI,SCHRODER ORIENTAL INCOME FUND LD ORD 1P,FTSE 250,
SONG,HIPGNOSIS SONGS FUND LD ORD NPV,FTSE 250,
SPI,SPIRE HEALTHCARE GROUP PLC ORD 1P,FTSE 250,
SPT,SPIRENT COMMUNICATIONS PLC ORD 3 1/3P,FTSE 250,
SPX,SPIRAX-SARCO ENGINEERING PLC ORD 26 12/13P,FTSE 100,
SRE,SIRIUS REAL ESTATE LD ORD NPV,FTSE 250,
SRP,SERCO GROUP PLC ORD 2P,FTSE 250,
SSE,SSE PLC ORD 50P,FTSE 100,
SSON,SMITHSON INVESTMENT TRUST PLC ORD 1P,FTSE 250,
SSPG,SSP GROUP PLC ORD 1 17/200P,FTSE 250,
STAN,STANDARD CHARTERED PLC ORD USD0.50,FTSE 100,
STJ,ST.JAMES'S PLACE PLC ORD 15P,FTSE 100,
SUPR,SUPERMARKET INCOME REIT PLC ORD GBP0.01,FTSE 250,
SVS,SAVILLS PLC ORD 2.5P,FTSE 250,
SVT,SEVERN TRENT PLC ORD 97 17/19P,FTSE 100,
SXS,SPECTRIS PLC ORD 5P,FTSE 250,
SYNC,SYNCONA LIMITED ORD NPV,FTSE 250,
SYNT,SYNTHOMER PLC ORD 10P,FTSE 250,
TATE,TATE & LYLE PLC ORD 29 1/6P,FTSE 250,
TBCG,TBC BANK GROUP PLC ORD GBP0.01,FTSE 250,
TCAP,TP ICAP GROUP PLC ORD 25P,FTSE 250,
TEM,TEMPLETON EMERGING MARKETS IT PLC ORD 5P,FTSE 250,
TEP,TELECOM PLUS PLC ORD 5P,FTSE 250,
TFIF,TWENTYFOUR INCOME FUND LIMITED ORD RED 1P,FTSE 250,
THRG,BLACKROCK THROGMORTON TRUST PLC ORD 5P,FTSE 250,
THRL,TARGET HEALTHCARE REIT PLC ORD 1P,FTSE 250,
TIFS,TI FLUID SYSTEMS PLC ORD 1P,FTSE 250,
TLW,TULLOW OIL PLC ORD 10P,FTSE 250,
TMPL,TEMPLE BAR INV TST PLC ORD 5P,FTSE 250,
TPK,TRAVIS PERKINS PLC ORD £0.11205105,FTSE 250,
TRIG,THE RENEWABLES INFRASTRUCTURE GROUP ORD NPV,FTSE 250,
TRN,TRAINLINE PLC ORD 1P,FTSE 250,
TRY,TR PROPERTY INV TST PLC ORD 25P,FTSE 250,
TSCO,TESCO PLC ORD 6 1/3P,FTSE 100,
